id,name,vernacular_name,vernacular_name_en,vernacular_name_fr,vernacular_name_nl,gbif_taxon_key,tags
4,Ludwigia grandiflora,waterteunisbloem,Water-primrose,jussie à grandes fleurs,waterteunisbloem,5421039,"1,2,3,42"
16,Ludwigia peploides,kleine waterteunisbloem,Floating primrose-willow,jussie rampante,kleine waterteunisbloem,5420991,"1,2,3,42"
84,Lygodium japonicum,Japanse klimvaren,Vine-like fern,fougère grimpante du Japon,Japanse klimvaren,2650436,"1,3"
10,Lysichiton americanus,moerasaronskelk,American skunk cabbage,faux arum,moerasaronskelk,2869311,"1,2,3"
136,Mahonia aquifolium,mahonie,Oregon grape,mahonia faux houx,mahonie,3033865,"1,42"
99,Microstegium vimineum,Japans steltgras,Japanese stiltgrass,herbe à échasses japonaise,Japans steltgras,5289808,"1,3"
105,Morone americana,Amerikaanse baars,white perch,bar blanc d’Amérique,Amerikaanse baars,2394604,"3,5,11"
45,Muntiacus reevesi,Chinese muntjak,Muntjac deer,muntjac de Chine,Chinese muntjak,2440946,"3,5,6"
59,Myocastor coypus,beverrat,Coypu,ragondin,beverrat,4264680,"3,5,6"
6,Myriophyllum aquaticum,parelvederkruid,Parrot's feather,myriophylle du Brésil,parelvederkruid,5361785,"1,2,3,42"
11,Myriophyllum heterophyllum,ongelijkbladig vederkruid,Broadleaf watermilfoil,myriophylle hétérophylle,ongelijkbladig vederkruid,5361762,"1,2,3,42"
133,Myriophyllum rubricaule,rossig vederkruid,,,rossig vederkruid,11742641,"1,42"
55,Nasua nasua,neusbeer,coati,coati roux Roter,neusbeer,2433536,"3,5,6"
66,Nyctereutes procyonoides,wasbeerhond,Raccoon dog,chien viverrin,wasbeerhond,2434552,"3,5,6"
58,Ondatra zibethicus,muskusrat,Muskrat,rat musqué,muskusrat,5219858,"3,5,6"
68,Oxyura jamaicensis,rosse stekelstaart,Ruddy duck,érismature rousse,rosse stekelstaart,2498305,"3,5,8"
40,Pacifastacus leniusculus,Californische rivierkreeft,Signal crayfish,écrevisse signal,Californische rivierkreeft,2226990,"3,4,5"
94,Parthenium hysterophorus,schijnambrosia,Whitetop weed,fausse camomille,schijnambrosia,3086784,"1,3"
137,Parthenocissus inserta,valse wingerd,thicket creeper,vigne vierge commune,valse wingerd,3039203,"1,42"
107,Parthenocissus quinquefolia,vijfbladige wingerd,Virginia creeper,vigne-vierge vraie,vijfbladige wingerd,3039194,"1,42"
135,Parthenocissus tricuspidata,Oosterse wingerd,Boston ivy,vigne-vierge à trois pointes,Oosterse wingerd,3039209,"1,42"
80,Pennisetum setaceum,fraai lampenpoetsersgras,Crimson fountaingrass,herbe aux écouvillons pourpres,fraai lampenpoetsersgras,5828232,"1,3"
70,Perccottus glenii,amoergrondel,Amur sleeper,goujon de l'amour,amoergrondel,2390064,"3,5,11"
101,Persicaria perfoliata,gestekelde duizendknoop,Asiatic tearthumb,renouée perfoliée,gestekelde duizendknoop,4033648,"1,3"
28,Petasites japonicus,Japans hoefblad,Giant butterbur,pétasite du Japon,Japans hoefblad,3088310,"1,2"
100,Pistia stratiotes,watersla,water lettuce,laitue d’eau,watersla,2870583,"1,3,42"
51,Plotosus lineatus,gestreepte koraalmeerval,Striped eel catfish,poisson-chat-rayé,gestreepte koraalmeerval,7965247,"3,5,11"
30,Pontederia cordata,snoekkruid,pickerel weed,pontédérie à feuilles en cœur,snoekkruid,2766030,"1,2"
23,Procambarus acutus,gestreepte Amerikaanse rivierkreeft,white river crayfish,Écrevisse blanche de rivière,gestreepte Amerikaanse rivierkreeft,2227289,"2,4,5"
12,Procambarus clarkii,rode Amerikaanse rivierkreeft,Red swamp crayfish,écrevisse de Louisiane,rode Amerikaanse rivierkreeft,2227300,"2,3,4,5"
33,Procambarus virginalis,marmerkreeft,Marbled crayfish,écrevisse marbrée,marmerkreeft,9442269,"2,3,4,5"
56,Procyon lotor,wasbeer,raccoon,raton laveur,wasbeer,5218786,"3,5,6"
82,Prosopis juliflora,mesquite,Mesquite,bayahonde,mesquite,5358460,"1,3"
109,Prunus laurocerasus,kerslaurier,cherry laurel,laurier-cerise,kerslaurier,3021496,"1,42"
134,Prunus serotina,Amerikaanse vogelkers,black cherry,cerisier noir,Amerikaanse vogelkers,3021850,"1,42"
44,Pseudorasbora parva,blauwbandgrondel,"Stone moroko, topmouth gudgeon",goujon Asiatique,blauwbandgrondel,2362868,"3,5,11"
90,Pueraria montana lobata,kudzu,Kudzu vine,kudzu,kudzu,2977647,"1,3"
38,Pycnonotus cafer,roodbuikbuulbuul,red-vented bulbul,bulbul à ventre rouge,roodbuikbuulbuul,2486131,"3,5,8"
140,Reynoutria bohemica,Boheemse duizendknoop,Bohemian knotweed,renouée de Bohême,Boheemse duizendknoop,4038485,"1,42"
132,Reynoutria japonica,Japanse duizendknoop,Japanese Knotweed,Renouée du Japon,Japanse duizendknoop,2889173,"1,42"
142,Reynoutria sachalinensis,Sachalinse duizendknoop,giant knotweed,renouée de Sakhaline,Sachalinse duizendknoop,2889088,"1,42"
106,Rhus typhina,fluweelboom,staghorn sumac,sumac vinaigrier,fluweelboom,3190538,"1,42"
114,Robinia pseudoacacia,gewone robinia,black locust,robinier faux-acacia,gewone robinia,5352251,"1,42"
110,Rosa rugosa,rimpelroos,rugosa rose,rosier rugueux,rimpelroos,3003979,"1,42"
113,Rubus armeniacus,dijkviltbraam,Armenian blackberry,ronce d’Arménie,dijkviltbraam,2996525,"1,42"
141,Rudbeckia laciniata,slipbladige rudbeckia,cutleaf coneflower,Rudbéckie laciniée,slipbladige rudbeckia,3114229,"1,42"
103,Rugulopteryx okamurae,stomp gaffelwier,,algue brune du Japon,stomp gaffelwier,5824863,"3,15"
102,Salvinia molesta,grote vlotvaren,kariba weed,salvinie géante,grote vlotvaren,5274863,"1,3,42"
24,Saururus cernuus,Leidse plant,lizard's tail,queue de lézard,Leidse plant,5384932,"1,2"
42,Sciurus carolinensis,grijze eekhoorn,Grey squirrel,écureuil gris,grijze eekhoorn,5219681,"3,5,6"
49,Sciurus niger,Amerikaanse voseekhoorn,Fox squirrel,écureuil fauve,Amerikaanse voseekhoorn,5219683,"3,5,6"
53,Solenopsis geminata,tropische vuurmier,tropical imported fire ant,fourmi de feu tropicale,tropische vuurmier,5035187,"3,5,10"
41,Solenopsis invicta,rode vuurmier,red imported fire ant,grande fourmi de feu,rode vuurmier,5035230,"3,5,10"
48,Solenopsis richteri,zwarte vuurmier,black imported fire ant,fourmi de feu noire,zwarte vuurmier,5035017,"3,5,10"
144,Solidago canadensis,Canadese guldenroede,Canada goldenrod,verge d'or du Canada,Canadese guldenroede,5389029,"1,42"
112,Solidago gigantea,late guldenroede,giant goldenrod,solidage géant,late guldenroede,5389017,"1,42"
111,Spiraea alba,witte spirea,meadowsweet,spirée blanche,witte spirea,3026585,"1,42"
108,Spiraea billardii,spierstruik,billard's Bridewort,spirée de Billiard,spierstruik,7889822,"1,42"
139,Spiraea douglasii,Douglasspirea,hardhack steeplebush,spirée de Douglas,Douglasspirea,3027159,"1,42"
143,Spiraea salicifolia,theeboompje,bridewort,spirée à feuilles de saule,theeboompje,3026454,"1,42"
138,Spiraea tomentosa,viltige pluimspirea,steeplebush,spirée tomenteuse,viltige pluimspirea,3026819,"1,42"
65,Tamias sibiricus,Siberische grondeekhoorn,Siberian chipmunk,tamia de Sibérie,Siberische grondeekhoorn,2437450,"3,5,6"
104,Threskiornis aethiopicus,heilige ibis,Sacred ibis,ibis sacré,heilige ibis,2480764,"3,5,8"
50,Trachemys scripta,lettersierschildpad,"Red-eared, yellow-bellied and Cumberland sliders",tortue de Floride,lettersierschildpad,2443002,"3,5,13"
89,Triadica sebifera,talgboom,Chinese tallow,arbre à suif,talgboom,3054399,"1,3"
75,Vespa velutina,Aziatische hoornaar,yellow-legged hornet,frelon asiatique,Aziatische hoornaar,1311477,"3,5,10"
61,Wasmannia auropunctata,dwergvuurmier,little fire ant,petite fourmi de feu,dwergvuurmier,1315391,"3,5,10"
72,Xenopus laevis,Afrikaanse klauwkikker,African clawed frog,xénope lisse,Afrikaanse klauwkikker,5217334,"3,5,14"
27,Zizania latifolia,wilde rijst,Manchurian wild rice,riz sauvage de Mandchourie,wilde rijst,10919373,"1,2"
