id,name,vernacular_name,vernacular_name_en,vernacular_name_fr,vernacular_name_nl,gbif_taxon_key,tags
16,Ludwigia peploides,,,,,5420991,"1,2,3"
84,Lygodium japonicum,,,,,2650436,"1,3"
10,Lysichiton americanus,,,,,2869311,"1,2,3"
99,Microstegium vimineum,,,,,5289808,"1,3"
105,Morone americana,,,,,2394604,"3,5,11"
45,Muntiacus reevesi,,,,,2440946,"3,5,6"
59,Myocastor coypus,,,,,4264680,"3,5,6"
6,Myriophyllum aquaticum,,,,,5361785,"1,2,3"
11,Myriophyllum heterophyllum,,,,,5361762,"1,2,3"
55,Nasua nasua,,,,,2433536,"3,5,6"
66,Nyctereutes procyonoides,,,,,2434552,"3,5,6"
58,Ondatra zibethicus,,,,,5219858,"3,5,6"
68,Oxyura jamaicensis,,,,,2498305,"3,5,8"
40,Pacifastacus leniusculus,,,,,2226990,"3,4,5"
94,Parthenium hysterophorus,,,,,3086784,"1,3"
80,Pennisetum setaceum,,,,,5828232,"1,3"
70,Perccottus glenii,,,,,2390064,"3,5,11"
101,Persicaria perfoliata,,,,,4033648,"1,3"
28,Petasites japonicus,,,,,3088310,"1,2"
100,Pistia stratiotes,,,,,2870583,"1,3"
51,Plotosus lineatus,,,,,7965247,"3,5,11"
30,Pontederia cordata,,,,,2766030,"1,2"
23,Procambarus acutus,,,,,2227289,"2,4,5"
12,Procambarus clarkii,,,,,2227300,"2,3,4,5"
33,Procambarus virginalis,,,,,9442269,"2,3,4,5"
56,Procyon lotor,,,,,5218786,"3,5,6"
82,Prosopis juliflora,,,,,5358460,"1,3"
44,Pseudorasbora parva,,,,,2362868,"3,5,11"
90,Pueraria montana lobata,,,,,2977647,"1,3"
38,Pycnonotus cafer,,,,,2486131,"3,5,8"
103,Rugulopteryx okamurae,,,,,5824863,"3,15"
102,Salvinia molesta,,,,,5274863,"1,3"
24,Saururus cernuus,,,,,5384932,"1,2"
42,Sciurus carolinensis,,,,,5219681,"3,5,6"
49,Sciurus niger,,,,,5219683,"3,5,6"
53,Solenopsis geminata,,,,,5035187,"3,5,10"
41,Solenopsis invicta,,,,,5035230,"3,5,10"
48,Solenopsis richteri,,,,,5035017,"3,5,10"
65,Tamias sibiricus,,,,,2437450,"3,5,6"
104,Threskiornis aethiopicus,,,,,2480764,"3,5,8"
50,Trachemys scripta,,,,,2443002,"3,5,13"
89,Triadica sebifera,,,,,3054399,"1,3"
75,Vespa velutina,,,,,1311477,"3,5,10"
61,Wasmannia auropunctata,,,,,1315391,"3,5,10"
72,Xenopus laevis,,,,,5217334,"3,5,14"
27,Zizania latifolia,,,,,10919373,"1,2"
